id_unico,titulo,ano,contexto_identificado_leitura
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,edificio_comercial
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,portfolio_predial
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,edificio_generico
REG_00217,Enabling an effective knowledge and information flow between the phases of building construction and facilities management,2018,portfolio_predial
REG_00217,Enabling an effective knowledge and information flow between the phases of building construction and facilities management,2018,edificio_generico
REG_00415,AHP-ANP-Fuzzy Integral Integrated Network for Evaluating Performance of Innovative Business Models for Sustainable Building,2017,edificio_generico
REG_00489,Knowledge-based Lean Six Sigma maintenance system for sustainable buildings,2017,edificio_generico
REG_00519,Urban facilities management: A systemic process for achieving urban sustainability,2017,portfolio_predial
REG_00852,Developing a green maintainability framework for green walls in Singapore,2016,portfolio_predial
REG_00852,Developing a green maintainability framework for green walls in Singapore,2016,edificio_generico
REG_00888,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,2016,edificio_residencial
REG_00888,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,2016,edificio_generico
REG_01046,Literature review of green retrofit design for commercial buildings with BIM implication,2015,edificio_comercial
REG_01046,Literature review of green retrofit design for commercial buildings with BIM implication,2015,portfolio_predial
REG_01046,Literature review of green retrofit design for commercial buildings with BIM implication,2015,edificio_generico
REG_01104,Building information modeling for indoor environmental performance analysis,2015,portfolio_predial
REG_01104,Building information modeling for indoor environmental performance analysis,2015,edificio_generico
REG_01239,Life cycle costing of mechanical and electrical services for private finance initiatives projects in Malaysia,2015,edificio_generico
REG_01646,A vector autoregressive model for interpolating missing meteorological data for use in building simulation,2013,patrimonio_historico
REG_01646,A vector autoregressive model for interpolating missing meteorological data for use in building simulation,2013,edificio_generico
REG_01657,Evaluation of building performance for strategic facilities management in healthcare: A case study of a public hospital in Australia,2013,hospital
REG_01657,Evaluation of building performance for strategic facilities management in healthcare: A case study of a public hospital in Australia,2013,edificio_publico
REG_01657,Evaluation of building performance for strategic facilities management in healthcare: A case study of a public hospital in Australia,2013,portfolio_predial
REG_01657,Evaluation of building performance for strategic facilities management in healthcare: A case study of a public hospital in Australia,2013,edificio_generico
REG_02069,Outsourcing in facilities management - A literature review,2011,portfolio_predial
REG_02069,Outsourcing in facilities management - A literature review,2011,edificio_generico
REG_02204,Sustainable carbon neutral building design: New simulation tools for teaching green buildings,2011,edificio_generico
REG_02495,Digital Twins’ Applications for Building Energy Efficiency: A Review,2022,edificio_generico
REG_02540,An Integrated Fuzzy-Based Sustainability Framework for Post-Secondary Educational Buildings: A User-Perspective Approach,2022,universidade
REG_02540,An Integrated Fuzzy-Based Sustainability Framework for Post-Secondary Educational Buildings: A User-Perspective Approach,2022,escola
REG_02540,An Integrated Fuzzy-Based Sustainability Framework for Post-Secondary Educational Buildings: A User-Perspective Approach,2022,portfolio_predial
REG_02540,An Integrated Fuzzy-Based Sustainability Framework for Post-Secondary Educational Buildings: A User-Perspective Approach,2022,campus
REG_02540,An Integrated Fuzzy-Based Sustainability Framework for Post-Secondary Educational Buildings: A User-Perspective Approach,2022,edificio_generico
REG_02568,Assessment of the Perception of Sustainability for Occupants of Residential Buildings: A Case Study in the UAE,2022,edificio_residencial
REG_02568,Assessment of the Perception of Sustainability for Occupants of Residential Buildings: A Case Study in the UAE,2022,portfolio_predial
REG_02568,Assessment of the Perception of Sustainability for Occupants of Residential Buildings: A Case Study in the UAE,2022,edificio_generico
REG_02635,A thematic review on Prevention through design (PtD) concept application in the construction industry of developing countries,2022,edificio_generico
REG_03126,A performance data integrated BIM framework for building life-cycle energy efficiency and environmental optimization design,2021,escola
